Comment,Actual_Sentiment,Predicted_Sentiment_Lexicon
Why TVA not hear,neutral,neutral
Bro the hype for this was crazy!<br>Ã??Is Tobey and Andrew Garfield gonna be in no way home?Ã?Ã¹<br>Good times????,positive,positive
Does this mean Bully McGuire is coming back?,neutral,negative
we need tobey andrew and tom all fighting the sinister six,neutral,negative
excatly a year agoÃÃ¹?Ã£?Ã¨Ã?Ã§????,neutral,neutral
THEE SpiderMan movie,neutral,neutral
Fun Fact: Doctor has appeared every year since 2016(except for 2020 which was the Pandemic year)<br>2016-Doctor Strange<br>2017-Thor-Ragnorock<br>2018-Avengers-Infinity war<br>2019-Avengers-Endgame<br>2020-N/A<br>2021-Spiderman-No Way Home<br>2022-Doctor Strange in the multiverse of madness,neutral,negative
Came back for the comments,neutral,neutral
"Tom Holland is the best Spider-Man in every Universe . LetÃ??s go, I loved the movie",positive,positive
"Most of Spider-ManÃ??s enemies are not evil like Sandman he was just doing that for his daughter and if his daughter was ok then Sandman wonÃ??t be evil, electro was just sad that no one cared about his birthday and when he turned into electro everyone started to shoot him, Green Goblin 2002 was forced to take the Goblin Serum so the company donÃ??t fall but certainly the serum was not finished 100% and it has some side effects",neutral,negative
I cant wait to see shaggy and the gang in Spider-Man Scooby doo ate our way home,neutral,neutral
This is by far the worst trailer in history. The movie was absolutely banging but... they revealed almost everything but the andrew and toby parts. I mean.. damn. So glad I ignored this trailer for the entire year before seeing the movie...,negative,negative
Movie was alright. They literally only fought the big villains and no smaller criminals which i found very boring. The CGI looked crap at some points like when jamie foxx&#39;s arms looked like rubber/plastic while he was hovering in the air. I feel like tobey and andrew should have gotten out of the portals in a more dramatic way. Its for sure a movie that has to be watched but for me i will only watch it once since it really feeled like that all the money went into getting all 3 spidermans together. This movie all in all felt like an excuse to bring all 3 together to grab some cash. There was literally no point in jake gyllenhal revealing the identity of spiderman...like at all.,negative,positive
Freaking stupid. These days stupid actors used to make stupid moviesï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã,negative,negative
Its just waste of time. It so ridiculous.,negative,negative
"Rewatching this trailer gives me a special feeling. Remembering how excited I was for this movie and the hype that surrounded it. Man, I haven&#39;t felt that in a while.",positive,positive
2 years passed without a spidey film,neutral,neutral
the new generation won&#39;t ever get how excited you were to see all three spidermans in 1 movie for nearly 3 hours i wish i could see it for the first time again now i just live a miserabel life and probably will for the rest of my life enjoy highschool because life is gonna go heck lower than that after you graduate my biggest wish was to be happy again i haven&#39;t laughed and smiled like that since i left with my buddies for nearly 2 years ago you would think you&#39;d be happy once you left but after you would wish every single day that you could go back and laugh and run around with ur buddies 1 last time peace out i hope you get better the person reading this there will be light at the bottom of the tunnel maybe not for me,positive,positive
This movie has way too much cgi. The backgrounds are so obvious. Really sad.,negative,negative
Man the no way home era was an elite time seriously never before have I ever seen so much hype for a movie. Also living in the UK we never cheer in our cinemas not even for endgame but for this we all went crazy,positive,positive
This movie is really boring. Not as good as the trailer made it out to be.,negative,positive
Just watched the FIRST HALF of this SHIT....The BIGGEST CROCK of DOG SHIT I have ever seen....STAN LEE would have been very DISAPPOINTED.....REAL WASTE  OF TIME ...,negative,negative
How is CGI managing to get worse?,negative,negative
"Turned off half way through, sooooo boringÃ??<br>Box tick <br>Box tick",negative,neutral
How time flies????,neutral,neutral
"What a joke. The only Spider Man movie I actually made an effort not to see. What lazy writing...bringing back every other stupid villain from the other movies just because Sony owned those rights. Can&#39;t believe there are people excited to watch this....After Avengers endgame, it seems Marvel is giving up....stupid movies like The Eternals, Black Widow....Spider far from home...wtf is going on ? MARVEL...NO ONE IS FORCING YOU TO MAKE 1 MOVIE A YEAR! TAKE YOUR TIME! MAKE A QUALITY PRODUCTION, DON&#39;T BE JEW DISNEY TRYING TO SPIT OUT A MILLION MOVIES A YEAR. ....OH WAIT....DISNEY OWNS YOU.....now I get it. hahahaha",negative,negative
Another terrible SM with holland,negative,negative
I haver never seen such a disaster movie poor cgi.....just as other stupid Spidey movie,negative,negative
"My spiderman movie. Everything was perfect, characters, story, action scenes, villians and realize date. Made my 2021 ending memorable.",positive,positive
Lool black MJ is disgusting,negative,negative
Scooby Doo?<br>This movie is stupid.,negative,negative
Too bad Venom is just a cameo on this movie ???Ãµ,negative,negative
Sonic the Hedgehog: No Way Home.<br>Sonics from other universes.<br>1: Movie Sonic.<br>2: Satam Sonic.<br>3: Anime Sonic.<br>4: Boom Sonic.<br>5: Archie Sonic (My top #1 favorite).<br>6: Fleetway Sonic.<br>7: Classic Sonic.<br>8: IDW Sonic.<br>9: Zonic the Zone Cop.<br>10: Multiverse Sonic.,neutral,neutral
A year ago today??Ã¹?,neutral,neutral
It&#39;s still a biggest goosebumps this trailer,positive,neutral
This movie was disappointing,negative,negative
All actors are perfectï£¿Ã¼Ã®â¢ but the story of the movie is worst ï£¿Ã¼Ã­Ã®,negative,negative
"i will probably never have the guts to watch this because i will cry, and i don&#39;t want to. But i will always love spiderman. see look i am crying rn.",positive,negative
"This is the worst episode ever. This is crap. I had big hopes about this part of Spiderman, but this is crap. Flat boring story, etc..",negative,negative
Waiting for 4,neutral,neutral
Why are Canadian theatres opening this movie again yet itÃ??s old????,neutral,neutral
Trash I canâÃÃ´t lie very disappointing give it 3/10,negative,negative
I was so afraid that i would get a spoiler. I didn&#39;t even watch this trailer. This is the first time i am watching it.,neutral,neutral
this movie was hot trash ????,negative,neutral
"Save your money, this movie SUCKS",negative,positive
2 years later itÃ??s already nostalgic,positive,neutral
"Goddamnit MJ, stop trying to do a Gwen Stacy, WRONG CHARACTER, WOMAN!!",negative,negative
No way itÃ??s been ab a year,neutral,neutral
They were laughing ??Ã¹Ë like he said &quot;Dr. Tutto Tottapius&quot;,neutral,positive
This is worst movie ever taken f***k crap movie,negative,negative
Best movie in The wold,positive,positive
Plz spider-man this crap,negative,negative
After Avengers Marvel is unable to give the same touch as they used too except Shang-Chi every other released movie is average,negative,positive
The goblin is ParkerÃ??s most personal adversary <br><br>Gwen dies <br>Aunt may dies <br>And in the comics tv show or something heÃ??s responsible for MjÃ??s disappearance<br>I also forgot how he traumatized <br>TobeyÃ??s aunt may while she was praying ???Ã¨??Ã¨Â´,positive,negative
I have full movie in my channel,neutral,neutral
Coming back and looking at this exactly a year later is just crazy,positive,negative
This movie was a masterpiece. Top tier. Probably best in phase 4 (next to Shang-Chi.),positive,positive
The last good marvel movie,positive,positive
I can&#39;t believe it&#39;s already been a year ??Ã¹Ë,neutral,neutral
Anyone from 2024? ÃÃ¹?,neutral,neutral
"Just everything about the movie and the trailer is so good, like itÃ??s good action, good art, design",positive,positive
I cied wnen ant may died ????????????????????????????,neutral,negative
The ending of the trailer had is all HYPE!!,positive,neutral
More terrible humor and Monkey Jane.,negative,negative
they adlibbed when dr strange said let us scooby doo this crap he actually said shit in the film,neutral,negative
Coming here almost eight monts after the trailer dropped stil get chills watching it. I wish we could relive the hype,positive,positive
november 2021/december 2021 was peak fr,neutral,neutral
"The popularity veiws were in the brazillions,its a fact and a pun",neutral,positive
"Well now can&#39;t wait to see it. Disappointed with the Matrix reviews, guess they just made that one into a big virtue signaling party.",negative,positive
"Honestly the only movie since endgame I actually fucking loved, doubt ill get as much excitement until GOTG 3 and maybe secret invasion if I&#39;m lucky",positive,positive
Love from Bangladesh ????????????,neutral,positive
the most successful movie with spiderman in the world,positive,positive
"Christmas is coming next month, so I figured IÃ??d buy this movie on Vudu as my Christmas present",neutral,neutral
Imagine if they showed Tobey and Andrew landing there and they all leaped to attack them. Everyone watching this trailer would&#39;ve had a heart attack,neutral,negative
"Poor story line, Poor execution, 3 dumb Annoying kids.<br><br>Whats more hurting ?? ItâÃÃ´s to see DR.Steven strange who defeated Dormammu without fully knowing his powers getting defeated by an expressionless kid &amp; his friends &amp; Ned, that ugly fat kid who got the portal open without a slightest struggle kind of killed the legacy of Dr. Strange. <br><br>Pure disrespect of powers &amp; characters on which Marvel was built.",negative,negative
Where is that one person&#39;s comment about this will be the biggest disappointment in cinema history?,negative,negative
"I donÃ??t want to be that fan, but ofc like always, we were robbed hella In this movie.",positive,positive
The memories bro ???Ãµ,positive,neutral
Sick of snarky females on film...,negative,negative
"It looks horrible, sorry",negative,negative
"Nobody believed this dude would try to take on 3 former spider super villains himself, I for sure knew it was the perfect strat for them to all come together as spidermen in this movie.",positive,positive
I can&#39;t believe how this movie was succeeded! I watched NWH and Green Goblin being the real villain of this movie is on an Kang level! But some scenes had made me cry even Aunt May&#39;s death. Sometimes I also think if Kang comes out surprisingly and shocked us it would so cool to see Peter vs Kang....,positive,negative
multiple decades to build this once in a lifetime HYPE!!!,positive,neutral
"On Sep 2 , Its coming back???Ã¹",neutral,neutral
This movie is shit,negative,negative
This Movie Will Be 2 Years Old Tomorrow <br><br><br><br><br><br><br>Time Files Man....,neutral,neutral
1 Year ago we witnessed the Most greatest Spiderman Movie ever,positive,positive
I mean itÃ??s 2023 nearly 2024 and letÃ??s be honest this has to be one of the best trailers ever made,positive,positive
A year ago whoa,neutral,neutral
"All new spiderman movies all shit asf,even the suit is ridiculousï£¿Ã¼Ã²Ã",negative,negative
I feel like watching  reality show rather than a movies.. Is not a good cinematic experience and the dialog is awful,negative,positive
"The HYPE around this movie was INSANEÃ??, I will never forget how excited people were to watch this movie",positive,positive
Very bad trailer. Very bad,negative,negative
One year later and this stills giving me chills,positive,neutral
Andrew Garfield is the worst spiderman.,negative,negative
"Looking back at it, this movie did not live up to its hype (For me). I feel like it lacked heart and creativity, I know that it struggled during pandemic butÃ??. I just canÃ??t see it as a masterpiece because for me that title belongs and always will belong to Sam RaimiÃ??s Spider-Man 2 Ã?Ã¹Ã£?Ã¨",negative,positive
I can&#39;t wait to watch the movie ???? Does anyone want to share spoilers?,neutral,positive
What a dumb movie or dr strange could just erase what MYSTERIO said,negative,negative
Worst spider character shit,negative,negative
watched this on netflix pretty good and sad and i always see a fricking jojo reference everytime i see a movie ;-;,positive,positive
"Damn, got recommended after almost 3 yrs. I miss the hype",neutral,negative
Great movie Tom holland is a really good actor,positive,positive
"After the release, they still keep Tobey and Andrew a secret...",neutral,neutral
Spider man movies are all same. this is very boring.,negative,negative
Looks too childish,negative,negative
the only bad thing about this film is that there isnt much action and there are many plot holes,negative,negative
This movie sucks,negative,negative
Electro: YouÃ??re not gonna take this away from me<br><br>Electro was so much more awesome in this movie then he was in TAS2,positive,positive
this trailer still give me goosebumps even after a year of the movie out,positive,neutral
When dr strange said Ã??please Scooby doo this crapÃ?? in the movie he actually says Ã??please Scooby doo this sh*tÃ?? which is quite funny ????,neutral,positive
Love tobby. as Spider-Man,positive,positive
Best Marvel trailer of all time?,positive,positive
We also of course need madame&#39;s web,neutral,neutral
"I still want to watch this movie, even though I already watched.",positive,positive
"I can&#39;t believe this movie is almost a year old already. Damn, time flies!",neutral,negative
Will Doctor Strange appear in the movie??? ???Ã,neutral,negative
"man, gonna miss the real peter parker in itï£¿Ã¼â¢â«felt him in this real badly",negative,negative
It&#39;s happens 3 years ago ???Ãµ,neutral,neutral
Dr Strange is the story for me!,neutral,negative
This was the greatest experience,positive,positive
"the present peter makes me sick, annoying kid! ??????Ã¨Â¨",negative,negative
This was the second most hyped MCU movie. Infinity War is 1,positive,negative
This movie was so fucking awesome,positive,positive
Happy 2 years!!!!!,neutral,positive
Even after watching the movie this trailer is amazzzziiinnng,positive,neutral
bro was trying to stop a canon event,neutral,negative
Two years later and I still get fucking chills,positive,neutral
3 years ago already????Ãµ,neutral,neutral
I remember the hype in the tobey and andrew scene in the cinema,neutral,neutral
Idc what anyone ever says this movie was the biggest event in spiderman history,negative,neutral
"I am more than gladÃ??. More than grateful.. That I didnÃ??t watch a single trailer, a single peakÃ?? NOTHINGÃ?? Giving me not even the slightest chance to get a  spoiler. I just came from a marathon  watching every single movie/show needed in chronological order for this movieÃ?? Let me tell you that I didnÃ??t believe a movie could literally have me screaming of excitement and tears of PURE JOY IN ALMOST EVERY SCENE!!!",positive,positive
What a days !,neutral,neutral
This video is 6 months nowï£¿Ã¼â¢â¤,neutral,neutral
It&#39;s been 2 years,neutral,neutral
almost 2 years. this hits harder in 2023,neutral,negative
Will always cry for not being able to experience this movie again for the 1st time????????,positive,negative
"Worst and stupidest Spiderman, trying to change the fate of a villain hahahha..saving a life of one for a killing million of lives including her aunt. I strongly suggest not to watch this movie its just a waste of time and money.",negative,negative
"Turned off half way through, sooooo boringâÃÂ¶<br>Box tick <br>Box tick",negative,neutral
"BRO I WAS SCROLLING DOWN AND THIS HAPPENED TO GET RECOMMENDED,  MAKING ME THINK THAT IT WAS A NEW SPIDERMAN",neutral,positive
"Here for one year anniversary, unreal. We&#39;re all lucky to experience this in theatres.",positive,positive
Once in lifetime experience to watch this movie in theatre&#39;s that I missed I&#39;m never gonna forgive myself for that.,neutral,positive
Last one was so bad idk why IâÃÃ´d watch this one.,negative,negative
"Watched no way home today in 3d,I have to say: WORST SCI-FI MOVIE I HAVE EVER WATCHED. Thank you so much Marvel for wasting my money and time (not really cause you got your profit)",negative,negative
I bet the black Spider-Man is Bully Maguire.,neutral,negative
but the story of the movie is worst ï£¿Ã¼Ã­Ã®,negative,negative
"So, Spiderman save New York City again in this movie, Damn! Too many times he save it. They have no place shoot anymore always NYC with the background of liberty, thatâÃÃ´s shyt boring to watchâÃÂ¶ ï£¿Ã¼Ã±Ã¯",negative,positive
When I watched this I cried seeing Tobey maguire my childhood spider man was back we need spider man 4 cos Tobey has still got it,positive,negative
The worst movie ever!!!! Is terrible!!!! 2 and  halt hour lost from my life!!!! Bad!BAD!! ï£¿Ã¼Â§Ãï£¿Ã¼Â§Ãï£¿Ã¼Â§Ãï£¿Ã¼Â§Ãï£¿Ã¼Â§Ãï£¿Ã¼Â§Ãï£¿Ã¼Â§Ãï£¿Ã¼Â§Ã,negative,negative
Why is everyone so annoying in this movie -<i>___</i>-,negative,negative
I tried to know nothing about this film before I saw it.  Thankfully I didn&#39;t and what a surprise!!!!,positive,positive
Toby is only the spiderman. That kid is<br>Is fake,negative,negative
I hate trailers,negative,negative
I really like it. Great movie!,positive,positive
"who is watching this on 2024, 7th of july",neutral,neutral
The worst Spiderman I have ever seen. Deeply disappointed.,negative,negative
"I just wish I could experience it for the first time again. I&#39;m gonna watch this trailer, when I grow old and remember how hyped we all were for this movie.",positive,positive
"Here 11 months later, this trailer makes me realize that this movie would of been so hype even without tobey and andrew",positive,neutral
It has been one year since the release of this godly trailer,positive,neutral
First off we have Mysterio telling everyone that Peter Parker&#39;s spiderman. And then Peter meets Dr Strange. Idk why Dr strange was in the movie. Peter meets the former villains. The villains go berserk. Aunt May is killed. Wasn&#39;t sad at all. Peter meets the two spidermen from different universes. They start attacking the villains and they bring them back to normal. Yayï£¿Ã¼Ã´Ã. After that Peter asks Dr Strange to wash off everyone&#39;s memories. BAD ending. Overall this movie was mid.,negative,negative
"Watching the trailer again makes me nostalgic, it was one of the best experiences in my life that I will never forget, without a doubt the best movie",positive,positive
3 years have passed and it feels like it was yesterday...,neutral,positive
On hacker heat a danger,negative,negative
damn it&#39;s almost a year,neutral,negative
"All of the past villains are returning like Green Goblin, Doctor Octopus ï£¿Ã¼ÃªÃ´  , Electro, Sandman, the Lizard ï£¿Ã¼Â¶Ã© &amp; Venom",neutral,negative
Man the day I went to see it was a day I will never ever forget,positive,negative
"To think we all went insane in 2016, when the silver war trailer came out and we saw Spider-Man at the end. Who wouldÃ??ve thought a couple years later we would see all three of them  together.",positive,negative
Number 4 best times of my entire life!!!!,positive,positive
The new MJ girl is terrible. So annoying and goofy.,negative,negative
Lame asf cause upon till now ion see Tobey nor Garfield in any part of the trailer waste a time,negative,negative
Maguire &gt; Garfield &gt; Stupid Childish Holland,negative,negative
Anyone here in 2024,neutral,neutral
Time really flies,neutral,neutral
"True, I don&#39;t like this peter, too selfish",negative,positive
STOP. PUTTING. MINI. TRAILERS. BEFORE. THE. FUCKING. TRAILER. JUST. PLAY. THE. FUCKING. TRALER.,negative,negative
Marvels Movie ( Spiderman )<br><br>Spiderman: Homecoming<br>Spiderman: Far From Home<br>Spiderman: No Way Home<br>Spiderman: No Way Home More Fun Staff<br><br>NEXT<br><br>Spiderman: A New Home ( 2024 ),neutral,positive
I am Bat- Oh wait wrong video,neutral,negative
First off we have Mysterio telling everyone that Peter Parker&#39;s spiderman. And then Peter meets Dr Strange. Idk why Dr strange was in the movie. Peter meets the former villains. The villains go berserk. Aunt May is killed. Wasn&#39;t sad at all. Peter meets the two spidermen from different universes. They start attacking the villains and they bring them back to normal. Yay????. After that Peter asks Dr Strange to wash off everyone&#39;s memories. BAD ending. Overall this movie was mid.,negative,negative
I love how in their own universes the spider man villains would be super human and considered godly but when they enter the MCU theyÃ??re just normal in the grand scheme of things,positive,positive
ItÃ??s been 2 years ???Ãµ,neutral,neutral
"Just watched it on Netflix, mediocre film, just fan service, childish and splattered with stupid sometimes cringe worthy jokes. Dumb plot too. And this Spider-Man sure does not look 17 even though he is shortï£¿Ã¼Ã²Ã. So glad I did not waste my money watching this forgettable stuff in cinema",negative,neutral
Such a good movie,positive,positive
Goblin who want to destroy Peter Parker&#39;s girlfriends from every universe ï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã,neutral,negative
i have seen this full movie,neutral,neutral
it is kinda trash that its excusevly in theaters and not on netflix or somefin where the other movies are it wouldnt even been so bad if you didint NEED to ,negative,positive
2 years ago today ???Ãµ time flys,neutral,neutral
Pointless,negative,neutral
Thank you Ant-Man!,neutral,positive
"Meanwhile,in another universe....Sony still showing such trailers and hiding of Andrew and tobey from fans????",neutral,positive
The only good phase 4 movie,positive,positive
Wtf did i just watch. So dumb..,negative,negative
2024 time is going so fast Ã?â ,neutral,neutral
I love the way YouTube canÃ??t say shit so it says crap.<br>Movie: scooby doo this shit<br>YouTube: scooby doo this crap,positive,negative
Spoiler! Doctor strange said scooby doo this SHIT instead of CRAP,neutral,negative
stupid,negative,negative
2yrs for this ???Ã¹???Ã¹????????????,neutral,neutral
"He says shit instead of crap, right?",neutral,negative
One word: confused.,negative,negative
This movie is definition of Nostalgia ????????????,positive,neutral
The future generations aren&#39;t gonna understand how hype this movie was,positive,neutral
My sister cried at the movie theater because of this movie ????<br>Edit:btw happy New Years ????,positive,positive
utter fkn drivel. bottom of the barrel,neutral,neutral
"Sony nobody wants you to be a part of spider-man, give them back to the MCU...you are worthless and you are going to destroy spider-man. You are just riding off the coattails of the MCU. You&#39;ve destroyed every single marvel property you put your hands on. We hate you and we will boycott every movie that you touch if you do not give Spider-Man to the marvel fans and the MCU",negative,negative
U know.whats funny we can all be spider man just move up In a nice neighborhood in New York and let aunt may send u yo college ????????,neutral,positive
 this story is a issue created by spiderman to hide his identity ï£¿Ã¼Â§Â£ï£¿Ã¼Â§Â£ï£¿Ã¼Â§Â£,negative,positive
Who&#39;s here in 2025?,neutral,neutral
why is this nostalgic,positive,neutral
I love this film A LOT... But my logical sense is always tingling<br><br>How can you resurrected 2 death characters from other world and drag them into your world?,positive,negative
"I hated it.<br>Just a bunch of cobbled together action scenes and every character is now a politically correct reinvented version. <br>Congratulations to all the old actors who came back and whored themselves out for a paycheck (Uncle Ben would not approve).<br>They made a billion dollars but I hope the next one makes more sense and at least tries to resemble the actual comic book storyline.<br>Thankfully in the end it was all &quot;erased by magic&quot; and now we can forget it ever happened, even the 2 hours of our lives and $20 or so we spent going to see it.",negative,negative
"Worst line ever written: &#39;Let&#39;s scooby doo this crap&#39; - Dr Strange (hold my beer) &#39;Let&#39;s scooby doo this crap, please.",negative,negative
Only good marvel movie after endgame and we all know why????,positive,positive
After 2 years anyone watching this trialer? This trailer still getting goosebumps ????????,positive,neutral
"Truly a once in a lifetime experience, the hype when Tom posted the first teaser on his Instagram account and the day the movie finally came out...",positive,positive
This trailer is 1 year old already!! ???Ã¨,neutral,neutral
The emotions this movie gave me????,neutral,neutral
It&#39;s been a year,neutral,neutral
I miss the hype it was GENERATIONAL,positive,negative
"Making Miles Morales Spider-Man film in the Multiverse Saga Miles Morales&#39;s Spider-Man film in Tobey Maguire Spider-Man Universe in which Death of Tobey Spider-Man,Miles Morales Spider-Man Release After Avengers:Secret Wars &amp; Death of Tobey &amp; Andrew as mentor",neutral,negative
Who is see this in 2024  ????,neutral,neutral
Why J Johna jameson (the daily bugle reporter) doesn&#39;t went back to his universe..he is still present in this universe. How&#39;s this possible? Anyone knows??,neutral,neutral
Bruh how is it one year old ????,neutral,neutral
Lee Larry Martin Elizabeth White Cynthia,neutral,neutral
Love the movie so good,positive,positive
Stupid spidermanâÃÂ¶ all died because of him,negative,negative
Please is it an adult film or for the kids?,neutral,neutral
"When this trailer first dropped, I remember how hyped everyone got when the &quot;Hello Peter&quot; happened, the theater i was in went nuts",positive,negative
Nicholas Hammond as the original Spiderman should have been in this.,neutral,positive
Nothing in life will ever compare to the hype of this movie. Millions of people all having some of their childhood heroÃ??s returning together in an epic MCU movie. <br><br>The build up with the leaks and constant rumours of if this person is actually in the movie.<br><br>And then when it finally happened. All the theatres losing their mind when the three Spider-Man came on screen,positive,negative
The magic was that everybody forgets that Parker is Spiderman. So why Parkers friends forgot complet him ????? Is a movie error??,positive,negative
The masterpiece,positive,positive
Miss those times??Ã¹Ã,neutral,negative
No way this was a year ago..,neutral,neutral
Looks crap,negative,negative
What a trashhhhh,negative,neutral
"Dr. Octopus, green goblin, and harry osborn is die, but they get double alive , maybe its named edo tensei",neutral,negative
Insane to see what so many franchises became in 2 years...nobody is interested in MCU anymore.,negative,neutral
Anyone here 2026?,neutral,neutral
"3 years ago I was in an online class and this droped,the next second itself I clicked this????",neutral,negative
one of the worst movie ever,negative,negative
Wow 3 years ago today this trailer was released.,positive,positive
Ugh.. I hate him.,negative,negative
"few months ago i believed nothing will top the hype of this movie, but kevin fiege announcing &quot;the kang dynasty&quot; and &quot;secret wars&quot; oooof 2025 is gonna be lovely.",positive,positive
How I wish I could go back in time and witness this hype again,positive,positive
This was the last marvel movie with real hype,positive,positive
they tried SO hard to get rid of toby and Andrew from the trailer,neutral,negative
its been 2 years,neutral,neutral
I watch this movie and then I watch trailerï£¿Ã¼Ã²Ã,neutral,neutral
I MISS THIS MOVIE SO MUCHÃÃ¹?,positive,negative
"you just had to be there, from the trailer release to the movie itself... you just had to be there, 3 generation of spider man, didyouknowhowlongwevewaitedforthis?",neutral,neutral
The hype when this trailer dropped was immaculate,positive,negative
2 years of this trailer! Gosh it felt like yesterday we were so hyped about it LMAO. Time really flies :),positive,positive
Time flies by so fast......one year......??Ã¹Ë,neutral,neutral
Pointless movie,negative,neutral
Just imagine: This Movie almost didnÃ??t happen.,neutral,neutral
"Marvel sucks, this is not cinema.. Is a game for kids",negative,neutral
"Bad movie, ",negative,negative
"Only one peter parker is here haa,, marvel @ sony making us fool ????????",neutral,neutral
Movie will be pathetic without Tobey,negative,negative
"I just notice that this movies don&#39;t take serious this times, just like the teen Titans of this generation ????",negative,positive
Trailer shows too much as usual,negative,neutral
"Looking back on when this trailer came out, I felt the same nostalgia I felt with Tobey&#39;s movies",positive,neutral
"This movie had sooooo much potential, till they only had three spider men for only 30 mins",positive,neutral
bro so we juss gonna act like electro saying Ã??you not gonna take this away from meÃ?Ã¹ isnt so badass cuz ts still give me goosebumps even after watching ts so many times,positive,positive
"When I went to the theaters to see this movie in Dothan AL, the audience cheered when Andrew Garfield and Tobey Maguire appeared. That was the first time I&#39;ve been in a theater where the audience cheered. And I can say it was awesome.",positive,positive
This was released 1 year ago???Ë,neutral,neutral
The ending was so sad I hope at spider man 4 they will reverse when he said forget about peter parker spider man,negative,negative
just watched this trailer and not sure i watched the movie or not.,negative,positive
Spider-Man No Way Home rating - Better Than Sex!!!,positive,positive
Anyone here in September of 2024?,neutral,neutral
When another Spider Man movie comes out I want the final battle to be all 3 actors of Spider Man Vs Venom &amp; Carnage,neutral,negative
"If everyone comes from multiverse who knows Peter Parker is Spiderman than, why not mj, Eddy Brock,Gwen,harry,Gwen father???",neutral,neutral
Honestly it&#39;s not a good movie I expected better the whole story on Spider-Man is ruined this new character playing Spider-Man horrible choice,negative,positive
after watching the movie i kind of hate tom Holland&#39;s Spiderman because of his personality he wants to change everything without thinking the consequences,negative,neutral
The worst spider man caractâÂ®re ever I hope Toby back,negative,negative
In my opinion a better movie than across the spiderverse,positive,positive
Where&#39;s toby and garfield????????????????,neutral,neutral
"1 year ago today, doesnÃ??t seem like it tho",neutral,positive
this movie is so inferior (like all the cheesy marvel movies now...) cant wait to never watch it,negative,positive
The movie is not good at all rather very poor. Script is not at all exciting. Too much animation.<br>Very disappointed. Overall rating 2/10.,negative,positive
It was best movie after endgame,positive,positive
I came back here after 1 year since this trailer. THE HYPE WAS REAL. I miss it???Ãµ,positive,negative
MJ: <b>*falls*</b><br>Tom: <b>Jumps</b><br>Andrew: <b>Jumps</b><br>Tobey: &quot;I missed the part where that&#39;s my problem&quot;,neutral,negative
"it&#39;s sad ï£¿Ã¼Ã²Ã»... now i know why it&#39;s called &quot;No Way Home&quot;..<br>In the end, he is Alone and Forgotten...",neutral,negative
Great movie,positive,positive
"how do they make such huge action so very boring, its a real skill",negative,positive
One year of history ÃÃ¹?Ã£?Ã¨???Ãª,neutral,neutral
bro marvel managed to hide the other spiderman,neutral,positive
I never liked doctor strange but I support the Spider-Man thingy with old villains,negative,negative
"Peter, youÃ??re struggling to have everything you want.  While the world tries to make you choose.",neutral,negative
3 years old and a Classic.,positive,neutral
"Damn. This comment will get buried and no one will see it. But whatever. I don&#39;t watch trailers for movies I know I want to see. Been doing it this way for a while. Instead, I watch the trailer after seeing the movie to see what would have been ruined had I watched the trailer. My word. I just got back from seeing this movie and just watched this trailer what a bad trailer. So glad I didn&#39;t watch it before seeing the movie.",negative,negative
"Hi, I&#39;m spanish speaker. Somebody can tell me because Strange say &quot;So Scooby-doo this crap&quot;? Which is the context of the sentences? I know that Scooby-doo is a cartoon ????????????",negative,negative
Chomo,neutral,neutral
Happy 2 year,neutral,positive
That looks very extremely Boring,negative,negative
I havent seen this yet,neutral,neutral
The beginning is boooring,negative,neutral
This PC parker is the most annoying spider man,negative,negative
Tobey : Harry Saved me !! <br>Andrew : He Killed My Girlfriend !!<br>Tom : Who The Hell Is Harry ?? !!,neutral,negative
The only good thing we got from Phase 4,positive,positive
Worst movie,negative,negative
Coming back to this trailer IÃ??m now just realizing that even the first few seconds (the trailer for the trailer) gives me chills.,positive,neutral
I wonder why Harry Osborn from the Raimiverse isn&#39;t in here...he died knowing Parker was Spider-Man,neutral,negative
Still gives me chills,positive,neutral
WHO COOKED WITH THIS SOUNDTRACK,positive,neutral
"year later, still doesnÃ??t feel real",positive,neutral
"Just watched it.  I am disappointed. My expectations were so highâÃÂ¶ Weak plot, predictable and pure fan service. You can do better Marvel",negative,positive
This video is 6 months now??Ã¹Ë,neutral,neutral
It looks so bad can they not recycle their movies 10 times and come up with new stuff,negative,negative
Guys if you look lose at this movie when they were fighting thanos nearly returned,positive,negative
it&#39;s a big mess for peter ï£¿Ã¼Ã²Ãª,negative,negative
Philippines did us dirty with this movie they really didn&#39;t released it until January its over two and a half years ago but im still pissed lol,positive,negative
Stupid movie with ultra stupid main character,negative,negative
Can they make a trailer with all 3 peters now??????,neutral,neutral
Anyone watching in 2023?,neutral,neutral
2 years wow ????,neutral,positive
Who&#39;s here before Ant man and the wasp:Quantumania?<br>????,neutral,neutral
It was completely a let down movieï£¿Ã¼Ã«Ã©ï£¿Ã¼Ã«Ã©ï£¿Ã¼Ã«Ã©ï£¿Ã¼Ã«Ã©,negative,neutral
CanÃ??t believe itÃ??s been 2 years ???Ãµ,neutral,neutral
How does the green goblin return,neutral,neutral
